category,n,graph6,band_01neg
con,1,@,1
con,2,A_,1
con,3,Bw,2
con,4,C^,1
con,4,Cr,1
con,4,C~,1
con,5,D^{,2
con,5,D~{,2
con,6,EF~w,2
con,6,E^~w,2
con,6,EoSo,2
con,6,Er~w,2
con,6,Es\o,2
con,6,E{Sw,2
con,6,E}lw,2
con,6,E~~w,2
con,7,FFz~w,2
con,7,FF~~w,2
con,7,F^~~w,2
con,7,Fr~~w,2
con,7,F~~~w,2
con,8,G?~v~{,1
con,8,G?~~fc,1
con,8,G?~~vk,1
con,8,G?~~~{,1
con,8,G@~v~{,1
con,8,G@~~~{,1
con,8,G`iiqk,1
con,8,G`~~vk,1
con,8,G`~~~{,1
con,8,GreZZ[,1
con,8,Gs@ipo,1
con,8,Gs`zro,1
con,8,G~`HW{,1
con,8,G~rHx{,1
con,8,G~z\z{,1
con,8,G~~~~{,1
con,8,G@~~fc,2
con,8,G@~~vk,2
con,8,GFz~~{,2
con,8,GF~v^{,2
con,8,GF~~~{,2
con,8,G]r@x{,2
con,8,G^~~~{,2
con,8,G`~v~{,2
con,8,Gr~~~{,2
con,8,G}l~~{,2
con,9,H?~~~~~,2
con,9,H@~~~~~,2
con,9,HFz~~~~,2
con,9,HF~v^~~,2
con,9,HF~~~~~,2
con,9,H^~~~~~,2
con,9,H`~~~~~,2
con,9,Hr~~~~~,2
con,9,Hs\v~~~,2
con,9,H{dQXgj,2
con,9,H}l~~~~,2
con,9,H}q|r|},2
con,9,H~~~~~~,2
con,9,H?~v~~~,3
con,9,H@~v~~~,3
con,9,H`~v~~~,3
con,10,I?B~v~~~w,2
con,10,I?B~~~~~w,2
con,10,I?F~v~~~w,2
con,10,I?F~~~~~w,2
con,10,I?~vf~~~w,2
con,10,I?~v~~~~w,2
con,10,I?~~vn~~w,2
con,10,I?~~~zz|w,2
con,10,I?~~~~~~w,2
con,10,I@~vf~~~w,2
con,10,I@~v~~~~w,2
con,10,I@~~vn~~w,2
con,10,I@~~~zz|w,2
con,10,I@~~~~~~w,2
con,10,IFzfF?^Fw,2
con,10,IFz~~~~~w,2
con,10,IF~v^~~~w,2
con,10,IF~~~~~~w,2
con,10,IQqZX~x|_,2
con,10,I^~~~~~~w,2
con,10,I`ilYpTSw,2
con,10,I`~v~~~~w,2
con,10,I`~~vn~~w,2
con,10,I`~~~zz|w,2
con,10,I`~~~~~~w,2
con,10,IoSs[\q[W,2
con,10,IqQ@`SUBW,2
con,10,Ir~~~~~~w,2
con,10,IsP@OkWHG,2
con,10,Is\s[\r[w,2
con,10,Is\v~~~~w,2
con,10,Is_BjX[N?,2
con,10,IsaBzx{^?,2
con,10,I}l~~~~~w,2
con,10,I}ox~~~~w,2
con,10,I~qkzXZLw,2
con,10,I~z\z~~~w,2
con,10,I~}AHKVBw,2
con,10,I~~v]}~^w,2
con,10,I~~~~~~~w,2
con,10,I?~vf~}~w,3
con,10,I@~vf~}~w,3
con,10,IF~~vnn~w,3
con,10,Is\v~z~~w,3
con,10,I}ox~~}~w,3
con,11,J?B~vr~~~~_,2
con,11,J?B~v~~~~~_,2
con,11,J?B~~zz~~~_,2
con,11,J?B~~~~~~~_,2
con,11,J?F~vr~~~~_,2
con,11,J?F~v~~~~~_,2
con,11,J?F~~zz~~~_,2
con,11,J?F~~~~~~~_,2
con,11,J?~vf~~~~~_,2
con,11,J?~v~~~~~~_,2
con,11,J?~~~~~~~~_,2
con,11,J@~vf~~~~~_,2
con,11,J@~v~~~~~~_,2
con,11,J@~~~~~~~~_,2
con,11,JFz~~~~~~~_,2
con,11,JF~v^~~~~~_,2
con,11,JF~~~~~~~~_,2
con,11,J^~~~~~~~~_,2
con,11,J`~v~~~~~~_,2
con,11,J`~~~~~~~~_,2
con,11,Jr~~~~~~~~_,2
con,11,Js\v~z~~~~_,2
con,11,Js\v~~~~~~_,2
con,11,J}l~~~~~~~_,2
con,11,J}ox~~~~~~_,2
con,11,J~z\z~~~~~_,2
con,11,J~~~~~~~~~_,2
con,11,J?~vf~}~~~_,3
con,11,J?~~vn~~~~_,3
con,11,J@~vf~}~~~_,3
con,11,J@~~vn~~~~_,3
con,11,JF~~vnn~~~_,3
con,11,J`~~vn~~~~_,3
con,11,Js\v~~}~^~_,3
con,11,J}ox~~}~~~_,3
con,12,KsaCB|}^b{No,1
con,12,K~~~~~~~~~~~,1
con,12,K??FffKrHwF`,2
con,12,K??F~z{~~~~~,2
con,12,K??F~z~~~~~~,2
